input_id,resolved_siret,official_name,confidence_score,match_method,alternatives,found_website,found_address,found_phone,found_email,country,city,postal_code,search_method,error
40CONIAC0000,45103167800027,CABINET CONIAC,1.0,DIRECT_ID,[],,,,,,,,,
40CONIBI0000,42922568300011,CONIBI,1.0,DIRECT_ID,[],,,,,,,,,
40CONNEXIS00,,,0.0,NOT_FOUND,[],,,,,,,,,
40CONTROLEA0,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CONVER0000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40CONVERTECH,,,0.0,NOT_FOUND,[],,,,,,,,,
40CONVERTEL0,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40COPRIMEX00,30474906200044,COPRIMEX,1.0,DIRECT_ID,[],,,,,,,,,
40CORA000000,78692030600093,CORA,1.0,DIRECT_ID,[],,,,,,,,,
40COSTANIM00,,,0.0,NOT_FOUND,[],,,,,,,,,
40COUTELLERI,,,0.0,NOT_FOUND,[],,,,,,,,,
40COVED00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CRASTR0000,56212804100026,3 D DONA,1.0,DIRECT_ID,[],,,,,,,,,
40CRAYON0000,79017204300065,CRAYON FRANCE,1.0,DIRECT_ID,[],,,,,,,,,
40CREASET000,38127736700060,CREASET,1.0,DIRECT_ID,[],,,,,,,,,
40CRENO00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CRIT000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CRLESAINT0,83372388500012,C.R LE SAINT,0.95,STRICT_LOCAL,[],,,,,,,,,
40CROIXROUGE,,,0.0,NOT_FOUND,[],,,,,,,,,
40CRUCHA0000,32832088200017,CRUCHAUDET - GRANDJEAN,1.0,DIRECT_ID,[],,,,,,,,,
40CSER000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CSFRUIT000,48026694900019,CHEMOUNI & CHEMOUNI IMPORT EXPORT,1.0,DIRECT_ID,[],,,,,,,,,
40CSIF000000,78568850800031,CHAMBRE SYND IMPORTAT FR FRUITS LEGUMES,1.0,DIRECT_ID,[],,,,,,,,,
40CTIFL00000,,,0.0,NOT_FOUND,[],,,,,,,,,
40CVI0000000,,,0.0,NOT_FOUND,[],,,,,,,,,
40DAGDAEST00,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40DARMON0000,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40DECAUMONT0,,,,,,,,,,,,,,OutOfMemoryException: Out of Memory Error: Allocation failure
40DECIDEOM00,,,0.0,NOT_FOUND,[],,,,,,,,,
40DECORPEINT,,,,,,,,,,,,,,"IOException: IO Error: Could not read file ""C:\Users\mouaad.ibnelaryf\OneDrive - Westfalia Fruit\DATA FOURNISSEURS\StockEtablissement_utf8.parquet"" (error in ReadFile(location: 2133320864, nr_bytes: 8)): Ressources système insuffisantes pour terminer le service demandé.


LINE 14:         FROM read_parquet(?) e
                      ^"
40DELANC0000,41458528100028,TRANS FROID AUVERGNE,1.0,DIRECT_ID,[],,,,,,,,,
40DELANCHY17,,,0.0,NOT_FOUND,[],,,,,,,,,
40DELANCHY62,,,0.0,NOT_FOUND,[],,,,,,,,,
40DELANCHY86,,,0.0,NOT_FOUND,[],,,,,,,,,
40DELANCHY94,,,0.0,NOT_FOUND,"[""79206082400051"", ""79206082400036"", ""44196266900053"", ""44196266900020""]",,,,,,,,,
